actor_slug,type,title,url,captured_at,note
phonefix-arendal-arendal,map,Google Maps,https://maps.google.com/?cid=8852693067180219757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
iphonemannen-as-arendal,website,Offisiell nettside,http://www.iphonemannen.no/,2026-04-15,
iphonemannen-as-arendal,map,Google Maps,https://maps.google.com/?cid=11059322088805102543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
arendal-mobil-arendal,map,Google Maps,https://maps.google.com/?cid=4474756505766086933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
mobit-arendal,website,Offisiell nettside,https://www.mobit.no/forhandlere/arendal,2026-04-15,
mobit-arendal,map,Google Maps,https://maps.google.com/?cid=13425695457620770010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
elektroverkstedet-as-arendal,website,Offisiell nettside,http://www.arendalelektroverksted.no/,2026-04-15,
elektroverkstedet-as-arendal,map,Google Maps,https://maps.google.com/?cid=5278844476971068587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
mobile-arendal-as-arendal,website,Offisiell nettside,https://mobile.no/forhandlere/mobile-arendal,2026-04-15,
mobile-arendal-as-arendal,map,Google Maps,https://maps.google.com/?cid=3385181630038701959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
elesco-agder-as-grimstad,website,Offisiell nettside,http://www.elesco.no/,2026-04-15,
